destination_name,hotel_name,price_per_night,rating,amenities
Lucknow,The Grand Nawab Hotel,4122,4.8,"Parking, Bar, WiFi, Gym"
Jodhpur,Umaid Bhawan Palace,13943,4.7,"Restaurant, Bar, Spa, Parking"
Guwahati,Hotel Brahmaputra Ashok,5634,4.5,"Gym, Bar, AC, Pool"
Hyderabad,Taj Falaknuma Palace,8935,3.7,"Bar, Pool, Parking, AC"
Goa,The Leela Goa,4912,4.1,"Pool, Bar, Gym, WiFi"
Ahmedabad,Hyatt Regency Ahmedabad,13201,3.9,"Bar, Pool, Restaurant, AC"
Agra,ITC Mughal,1606,3.3,"Restaurant, Bar, WiFi, Pool"
Lucknow,Taj Mahal Lucknow,9617,4.8,"WiFi, Restaurant, AC, Pool"
Guwahati,Radisson Blu Hotel Guwahati,2315,4.7,"Bar, Parking, Restaurant, Pool"
Surat,The Gateway Hotel Athwalines,1588,4.2,"Pool, Restaurant, Bar, Parking"
Coimbatore,Vivanta Coimbatore,13235,3.2,"AC, Bar, Restaurant, WiFi"
Kolkata,The Oberoi Grand,3725,4.4,"WiFi, Gym, Parking, Bar"
Hyderabad,ITC Kakatiya,12170,4.6,"Parking, AC, WiFi, Spa"
Udaipur,Taj Lake Palace,11153,4.4,"Gym, Spa, AC, Restaurant"
Amritsar,Hyatt Regency Amritsar,11451,3.5,"Spa, Restaurant, WiFi, Pool"
Goa,Taj Exotica Resort & Spa,12101,4.1,"AC, Pool, Parking, Spa"
Mysore,Radisson Blu Plaza Hotel Mysore,11468,4.9,"Spa, Pool, Parking, AC"
Lucknow,Hotel Levana,14981,4.0,"Pool, Gym, Spa, Parking"
Goa,Alila Diwa Goa,5847,5.0,"Spa, WiFi, Restaurant, Pool"
Varanasi,BrijRama Palace,1132,4.1,"WiFi, Spa, Restaurant, Pool"
Goa,Grand Hyatt Goa,13709,4.6,"Restaurant, AC, Gym, Bar"
Pune,The Corinthians Resort & Club,5106,4.4,"Parking, Restaurant, WiFi, Bar"
Guwahati,Hotel Rajmahal,13920,3.9,"Restaurant, Gym, AC, WiFi"
Manali,Solang Valley Resort,6352,4.5,"Parking, AC, Bar, Spa"
Chandigarh,Hotel Shivalikview,9697,4.0,"Spa, Bar, AC, Parking"
Nagpur,Radisson Blu Hotel Nagpur,14213,3.6,"Restaurant, Bar, WiFi, Pool"
Guwahati,Vivanta Guwahati,3529,3.1,"Spa, Parking, Gym, Pool"
Guwahati,Radisson Blu Hotel Guwahati,2315,4.7,"Bar, Parking, Restaurant, Pool"
Surat,The Gateway Hotel Athwalines,1588,4.2,"Pool, Restaurant, Bar, Parking"
Coimbatore,Vivanta Coimbatore,13235,3.2,"AC, Bar, Restaurant, WiFi"
Kolkata,The Oberoi Grand,3725,4.4,"WiFi, Gym, Parking, Bar"
Hyderabad,ITC Kakatiya,12170,4.6,"Parking, AC, WiFi, Spa"
Udaipur,Taj Lake Palace,11153,4.4,"Gym, Spa, AC, Restaurant"
Amritsar,Hyatt Regency Amritsar,11451,3.5,"Spa, Restaurant, WiFi, Pool"
Goa,Taj Exotica Resort & Spa,12101,4.1,"AC, Pool, Parking, Spa"
Mysore,Radisson Blu Plaza Hotel Mysore,11468,4.9,"Spa, Pool, Parking, AC"
Lucknow,Hotel Levana,14981,4.0,"Pool, Gym, Spa, Parking"
Goa,Alila Diwa Goa,5847,5.0,"Spa, WiFi, Restaurant, Pool"
Varanasi,BrijRama Palace,1132,4.1,"WiFi, Spa, Restaurant, Pool"
Goa,Grand Hyatt Goa,13709,4.6,"Restaurant, AC, Gym, Bar"
Pune,The Corinthians Resort & Club,5106,4.4,"Parking, Restaurant, WiFi, Bar"
Guwahati,Hotel Rajmahal,13920,3.9,"Restaurant, Gym, AC, WiFi"
Manali,Solang Valley Resort,6352,4.5,"Parking, AC, Bar, Spa"
Chandigarh,Hotel Shivalikview,9697,4.0,"Spa, Bar, AC, Parking"
Nagpur,Radisson Blu Hotel Nagpur,14213,3.6,"Restaurant, Bar, WiFi, Pool"
Jodhpur,Ajit Bhawan,3306,4.5,"Pool, Bar, Restaurant, Gym"
Puri,Mayfair Waves,6992,3.2,"Bar, WiFi, Parking, Spa"
Puri,Hotel Holiday Resort,8451,3.7,"Spa, Gym, Pool, Parking"
Pune,Hyatt Regency Pune,12056,3.5,"WiFi, Spa, Bar, Parking"
Manali,The Himalayan,6873,3.7,"Parking, AC, Spa, Pool"
Hyderabad,ITC Kakatiya,12170,4.6,"Parking, AC, WiFi, Spa"
Udaipur,Taj Lake Palace,11153,4.4,"Gym, Spa, AC, Restaurant"
Amritsar,Hyatt Regency Amritsar,11451,3.5,"Spa, Restaurant, WiFi, Pool"
Goa,Taj Exotica Resort & Spa,12101,4.1,"AC, Pool, Parking, Spa"
Mysore,Radisson Blu Plaza Hotel Mysore,11468,4.9,"Spa, Pool, Parking, AC"
Lucknow,Hotel Levana,14981,4.0,"Pool, Gym, Spa, Parking"
Goa,Alila Diwa Goa,5847,5.0,"Spa, WiFi, Restaurant, Pool"
Varanasi,BrijRama Palace,1132,4.1,"WiFi, Spa, Restaurant, Pool"
Goa,Grand Hyatt Goa,13709,4.6,"Restaurant, AC, Gym, Bar"
Pune,The Corinthians Resort & Club,5106,4.4,"Parking, Restaurant, WiFi, Bar"
Guwahati,Hotel Rajmahal,13920,3.9,"Restaurant, Gym, AC, WiFi"
Manali,Solang Valley Resort,6352,4.5,"Parking, AC, Bar, Spa"
Chandigarh,Hotel Shivalikview,9697,4.0,"Spa, Bar, AC, Parking"
Nagpur,Radisson Blu Hotel Nagpur,14213,3.6,"Restaurant, Bar, WiFi, Pool"
Jodhpur,Ajit Bhawan,3306,4.5,"Pool, Bar, Restaurant, Gym"
Puri,Mayfair Waves,6992,3.2,"Bar, WiFi, Parking, Spa"
Pune,Hyatt Regency Pune,12056,3.5,"WiFi, Spa, Bar, Parking"
Shimla,The Oberoi Cecil,4626,4.3,"Gym, Restaurant, Parking, Pool"
Jaipur,Trident Jaipur,3290,3.1,"WiFi, Parking, Pool, Gym"
Lucknow,Renaissance Lucknow Hotel,4846,4.8,"Parking, Pool, Bar, Gym"
Mumbai,The Taj Mahal Palace,13175,4.4,"Bar, Spa, Restaurant, AC"
Guwahati,Hotel Dynasty,11730,3.2,"Gym, Spa, Pool, Parking"
Mysore,Hotel Sandesh The Prince,12309,3.7,"Gym, Pool, AC, Parking"
Lucknow,Renaissance Lucknow Hotel,12234,3.7,"Restaurant, WiFi, Pool, Parking"
Surat,Hotel Sifat International,3001,4.9,"Gym, WiFi, Restaurant, AC"
Srinagar,Hotel Dar-Es-Salam,11477,4.2,"WiFi, Gym, Parking, AC"
Indore,"Contreras, Ellis and Gregory",13893,4.1,"AC, Bar, Spa, Gym"
Kolkata,"Hernandez, Riley and Buckley",4538,4.6,"Pool, Parking, AC, Spa"
Guwahati,Moss Group,5542,4.7,"Parking, AC, Spa, Gym"
Coimbatore,"Smith, Meadows and Montgomery",2801,4.3,"WiFi, AC, Gym, Parking"
Madurai,Haynes and Sons,10647,3.6,"Parking, Gym, WiFi, AC"
Patna,Jackson Inc,7897,4.1,"AC, Pool, Bar, Parking"
Bangalore,The Oberoi Bengaluru,10726,3.2,"Pool, Spa, WiFi, Bar"
Mysore,Hotel Royal Orchid Metropole,8504,4.3,"WiFi, Gym, Pool, Restaurant"
Madurai,Fortune Pandiyan Hotel,12241,3.2,"Gym, WiFi, Bar, Parking"
Delhi,The Imperial New Delhi,3430,3.1,"Spa, Gym, Restaurant, Bar"
Coimbatore,Taj Vivanta Coimbatore,12667,3.7,"Spa, Pool, Gym, Restaurant"
Bhopal,Jehan Numa Palace Hotel,2624,4.6,"AC, Bar, Restaurant, Spa"
Patna,Hotel Maurya Patna,4522,3.9,"Pool, Gym, Parking, Bar"
Chandigarh,Hotel Mountview,7815,4.5,"Restaurant, Pool, Parking, Gym"
Rishikesh,Aloha On The Ganges,3500,4.4,"Gym, WiFi, Bar, Restaurant"
Bangalore,ITC Gardenia,8075,3.2,"Restaurant, Bar, AC, Spa"
Chandigarh,The Lalit Chandigarh,10608,4.9,"Restaurant, Gym, WiFi, Pool"
Udaipur,Shiv Niwas Palace,11900,4.9,"Bar, Gym, Restaurant, WiFi"
Goa,Planet Hollywood Beach Resort,10837,3.6,"AC, Spa, Bar, Gym"
Chennai,The Accord Metropolitan,11759,4.0,"AC, Parking, Spa, Bar"
Jaipur,Trident Jaipur,13494,3.6,"Pool, Bar, Gym, Spa"
Jodhpur,RAAS Jodhpur,14409,4.2,"WiFi, Spa, Restaurant, Parking"
Nagpur,Hotel Tuli International,3955,3.5,"Spa, Parking, Bar, WiFi"
Surat,Hotel Central Excellency,3347,4.1,"Bar, WiFi, AC, Gym"
Bangalore,Shangri-La Hotel Bengaluru,13224,4.1,"Bar, Pool, Gym, Parking"
Nagpur,Hotel Hardeo,7062,3.6,"Restaurant, Bar, Spa, Gym"
Kolkata,The Park Kolkata,1861,3.3,"WiFi, Restaurant, Gym, Parking"
Kolkata,Kenilworth Hotel Kolkata,11845,3.8,"Gym, Pool, Parking, AC"
Indore,Sayaji Hotel Indore,9394,3.2,"Bar, WiFi, Parking, Spa"
Bangalore,The Ritz-Carlton Bangalore,9633,4.3,"WiFi, AC, Pool, Spa"
Chandigarh,Jennings Group,1125,3.4,"Pool, Bar, AC, Parking"
Manali,Thompson-Santiago,6375,3.2,"Gym, Restaurant, Pool, AC"
Indore,Brown LLC,7229,4.1,"Pool, Spa, Bar, Parking"
Jodhpur,Clark-King,7505,4.7,"WiFi, Pool, Gym, Bar"
Jodhpur,"Trujillo, Chang and Williams",6129,4.2,"Bar, Restaurant, Gym, Pool"
Manali,"Williams, Medina and Moore",2887,3.8,"Restaurant, AC, Spa, Pool"
Kolkata,Washington Inc,6928,3.2,"AC, Gym, Pool, Spa"
Chandigarh,Jacobson Ltd,9584,3.2,"Spa, Restaurant, Parking, AC"
Chennai,Watkins-Nguyen,13765,3.3,"AC, Spa, Bar, Gym"
Manali,Apple Country Resort,6724,3.7,"Parking, AC, WiFi, Bar"
Puri,Mayfair Heritage,4232,3.3,"Parking, Bar, Restaurant, WiFi"
Coimbatore,The Residency Towers,13662,4.3,"Gym, Bar, Spa, Restaurant"
Aurangabad,WelcomHotel Rama International,12159,4.8,"Restaurant, Bar, Gym, Parking"
Chennai,ITC Grand Chola,8205,3.1,"Gym, Restaurant, Parking, Bar"
Kolkata,Taj Bengal,1920,3.7,"AC, Parking, Pool, Restaurant"
Mysore,Fortune JP Palace,1932,3.7,"Spa, WiFi, Restaurant, Bar"
Shimla,Wildflower Hall,10733,4.0,"Gym, Spa, Bar, WiFi"
Aurangabad,Vivanta Aurangabad,14268,4.1,"Pool, Parking, Spa, Gym"
Udaipur,The Oberoi Udaivilas,3471,4.9,"Gym, WiFi, Parking, Bar"
Udaipur,Trident Udaipur,11586,3.3,"Pool, Restaurant, Gym, Bar"
Nagpur,Radisson Blu Hotel Nagpur,9564,4.2,"Restaurant, Parking, Bar, Pool"
Madurai,Heritage Madurai,13688,3.7,"WiFi, Bar, Restaurant, Parking"
Ahmedabad,Courtyard by Marriott Ahmedabad,6401,3.2,"Bar, Parking, Gym, Spa"
Chennai,The Park Chennai,6461,3.2,"Parking, Gym, Bar, Pool"
Indore,Radisson Blu Hotel Indore,10749,4.4,"AC, Parking, Spa, Pool"
Srinagar,The Lalit Grand Palace,13970,3.7,"Parking, Restaurant, Bar, Spa"
Bangalore,The Leela Palace Bengaluru,11584,4.3,"Restaurant, WiFi, Parking, Gym"
Surat,Lords Plaza Surat,4509,3.7,"Gym, AC, Bar, Restaurant"
Chennai,Taj Coromandel,2264,3.6,"AC, Spa, Bar, Restaurant"
Mysore,"Shah, Mcintyre and Villanueva",11845,3.7,"Parking, Spa, Pool, AC"
Nagpur,Baird-Williams,3962,4.7,"Parking, Restaurant, Pool, WiFi"
Madurai,Quinn-Gordon,6968,4.4,"Pool, Gym, Spa, Parking"
Indore,Schmidt-Mendoza,13264,4.6,"Pool, Spa, AC, Parking"
Nagpur,"Nicholson, Chavez and Allen",14682,3.4,"Gym, Pool, Parking, Bar"
Udaipur,"Mullins, Steele and Russell",9641,3.8,"Parking, Bar, AC, Spa"
Coimbatore,Le Meridien Coimbatore,5096,3.1,"Gym, Bar, Parking, Spa"
Pune,Hyatt Pune,12655,4.7,"AC, Parking, WiFi, Gym"
Pune,Marriott Suites Pune,8361,4.8,"Parking, Bar, Pool, WiFi"
Nagpur,Hotel Centre Point,14380,3.9,"Restaurant, WiFi, Pool, Bar"
Madurai,The Gateway Hotel Pasumalai,9224,3.7,"Bar, WiFi, Parking, AC"
Nagpur,Tuli Imperial,6221,4.9,"Restaurant, Bar, AC, Gym"
Mysore,Country Inn & Suites by Radisson,5700,4.8,"Gym, Restaurant, AC, Pool"
Aurangabad,Hotel Ambassador Ajanta,11081,3.0,"AC, WiFi, Parking, Gym"
Chennai,The Raintree Hotel,9991,4.9,"Bar, WiFi, Parking, AC"
Mysore,Hotel Southern Star,2996,3.1,"Bar, Restaurant, Spa, Pool"
Ahmedabad,Fortune Landmark Ahmedabad,2816,4.7,"Gym, Spa, Bar, WiFi"
Aurangabad,Lemon Tree Hotel Aurangabad,9443,4.2,"Parking, Gym, Pool, WiFi"
Shimla,Hotel Willow Banks,6780,3.5,"Bar, AC, Restaurant, WiFi"
Nagpur,Hotel Hardeo,6908,3.1,"WiFi, Pool, Bar, Gym"
